scheme_name,benefits,level,category,tags,combined
Maternity Benefit Scheme UKBOCWWB,"1. Under the scheme, financial assistance of 10,000/- will be given to women registered construction workers during their maternity period. Note To get additional maternity assistance, it is necessary for the construction worker to attach a certified copy of the ANC card and a certificate issued by the medical officer along with the application",State/ UT,"Social welfare Empowerment, Women and Child","Building Worker,  Construction Worker,  Financial Assistance,  Labour,  Maternity,  Pregnancy,  Woman","Maternity Benefit Scheme UKBOCWWB 1. Under the scheme, financial assistance of 10,000/- will be given to women registered construction workers during their maternity period. Note To get additional maternity assistance, it is necessary for the construction worker to attach a certified copy of the ANC card and a certificate issued by the medical officer along with the application Social welfare Empowerment, Women and Child Building Worker,  Construction Worker,  Financial Assistance,  Labour,  Maternity,  Pregnancy,  Woman"
Matrimonial Incentives,"The eligible couple will get up to 50,000/- as financial assistance. The nature of financial assistance is as below 1. Saving Certificate of 25,000/-. 1. 20,000/- in cash. 1. 4,500/- in the form of household utility. 1. 500/- to atte",State,"Social welfare Empowerment, Banking,Financial Services and Insurance","Financial Assistance,  Incentive,  Marriage,  Person With Disability,  Social Welfare","Matrimonial Incentives The eligible couple will get up to 50,000/- as financial assistance. The nature of financial assistance is as below 1. Saving Certificate of 25,000/-. 1. 20,000/- in cash. 1. 4,500/- in the form of household utility. 1. 500/- to atte Social welfare Empowerment, Banking,Financial Services and Insurance Financial Assistance,  Incentive,  Marriage,  Person With Disability,  Social Welfare"
SVAMITVA Yojana Survey of Villages and Mapping with Improvised Technology in Village Areas,- Drone Digitally Maps All the Land Parcels of the Inhabited Area of the Village. - Creation of Property Cards on the Exact Area of Each Property in the Village. - Proprietary Rights to the Village Household Owner. - Property as a Financial Asset for Taking Loans and Other Financial Benefits. - Reduce Property Disputes and Legal Cases. - Determination of Property Tax. - Creation of Accurate Land Records for Rural Planning. - Better Gpdp - Leveraging Gis Database/ Maps Created for Better Planning and Execution of Plans.,Central,"Agriculture,Rural Environment","Drone,  Property,  Rural,  Survey,  Village","SVAMITVA Yojana Survey of Villages and Mapping with Improvised Technology in Village Areas - Drone Digitally Maps All the Land Parcels of the Inhabited Area of the Village. - Creation of Property Cards on the Exact Area of Each Property in the Village. - Proprietary Rights to the Village Household Owner. - Property as a Financial Asset for Taking Loans and Other Financial Benefits. - Reduce Property Disputes and Legal Cases. - Determination of Property Tax. - Creation of Accurate Land Records for Rural Planning. - Better Gpdp - Leveraging Gis Database/ Maps Created for Better Planning and Execution of Plans. Agriculture,Rural Environment Drone,  Property,  Rural,  Survey,  Village"
Medical Assistance for the Construction Workers,"- 2,000/- for the first five days. - 200/- each for remaining days, upto a maximum of 10,000/-, available from the date of reg",State/ UT,"Health Wellness, Social welfare Empowerment","Accidental Support,  Construction Workers,  Financial Assistance,  Hospitalization,  Labour,  Medical Support","Medical Assistance for the Construction Workers - 2,000/- for the first five days. - 200/- each for remaining days, upto a maximum of 10,000/-, available from the date of reg Health Wellness, Social welfare Empowerment Accidental Support,  Construction Workers,  Financial Assistance,  Hospitalization,  Labour,  Medical Support"
Financial Assistance for Miscarriage for the Construction Workers,"- An amount of 3,000/- as financial assistance in case of miscarriage to the female member or wife of a male member of the fund.",State/ UT,"Health Wellness, Women and Child","Construction Workers,  Financial Assistance,  Labour,  Medical Assistance,  Miscarriage,  Women","Financial Assistance for Miscarriage for the Construction Workers - An amount of 3,000/- as financial assistance in case of miscarriage to the female member or wife of a male member of the fund. Health Wellness, Women and Child Construction Workers,  Financial Assistance,  Labour,  Medical Assistance,  Miscarriage,  Women"
Uniform Allowance to the Wards of Ex-Servicemen/Widows Sainik Welfare,"Allowance in per annum according to the Level of Qualification - School Level 2,000 - Other Courses 2,500 _ The rate listed above or the actual cost, whichever is less, is reimbursed._ _ The amount is credited to the beneficiary s Bank Account through R",State/ UT,Education Learning,"Allowance,  Ex-Serviceman,  Student,  Uniform,  Widow","Uniform Allowance to the Wards of Ex-Servicemen/Widows Sainik Welfare Allowance in per annum according to the Level of Qualification - School Level 2,000 - Other Courses 2,500 _ The rate listed above or the actual cost, whichever is less, is reimbursed._ _ The amount is credited to the beneficiary s Bank Account through R Education Learning Allowance,  Ex-Serviceman,  Student,  Uniform,  Widow"
Grant for the Purchase of Work Related Tools for the Construction Workers,"- An amount of 5,000/- as grant to the members of the Fund, for the purchase of work related tools once in 5 years.",State/ UT,"Banking,Financial Services and Insurance","Construction Workers,  Financial Assistance,  Grant,  Labour,  Work Tool","Grant for the Purchase of Work Related Tools for the Construction Workers - An amount of 5,000/- as grant to the members of the Fund, for the purchase of work related tools once in 5 years. Banking,Financial Services and Insurance Construction Workers,  Financial Assistance,  Grant,  Labour,  Work Tool"
Funeral Assistance for the Construction Workers,"- Assistance of 10,000/- is provided to the nominees/dependents of the member in case of his/her death from the date of joining membership of the fund.",State/ UT,Social welfare Empowerment,"Construction Workers,  Financial Assistance,  Funeral Assistance,  Labour","Funeral Assistance for the Construction Workers - Assistance of 10,000/- is provided to the nominees/dependents of the member in case of his/her death from the date of joining membership of the fund. Social welfare Empowerment Construction Workers,  Financial Assistance,  Funeral Assistance,  Labour"
Yatra Pass in DTC non AC Buses for the Construction Workers,- A pass of 2400/- per three months for non AC DTC bus is provided.,State/ UT,"Social welfare Empowerment, Transport Infrastructure","Construction Worker,  Labour,  Transport,  Travel,  Yatra Pass","Yatra Pass in DTC non AC Buses for the Construction Workers - A pass of 2400/- per three months for non AC DTC bus is provided. Social welfare Empowerment, Transport Infrastructure Construction Worker,  Labour,  Transport,  Travel,  Yatra Pass"
Award of Scholarship to the Children who are Recipients of National Child Award for Exceptional Achievements and Other National / International Merit Awards,"Scholarship 6,000/- per annum per student. Mode of Disbursal The amount is disbursed directly into the Aadhaar-seeded viable bank account by Direct Benefit Transfer DBT through the Electronic Clearance System",State/ UT,Education Learning,"Award,  Merit,  Scholarship,  School,  Student","Award of Scholarship to the Children who are Recipients of National Child Award for Exceptional Achievements and Other National / International Merit Awards Scholarship 6,000/- per annum per student. Mode of Disbursal The amount is disbursed directly into the Aadhaar-seeded viable bank account by Direct Benefit Transfer DBT through the Electronic Clearance System Education Learning Award,  Merit,  Scholarship,  School,  Student"
Disability Pension For Registered Worker HBOCWWB,1. A pension of 3000/- per month is given to the worker in case of disability due to any infectious disease or accident at the workpl,State,Social welfare Empowerment,"Construction Worker,  Disability,  Labour,  Pension,  Social Welfare","Disability Pension For Registered Worker HBOCWWB 1. A pension of 3000/- per month is given to the worker in case of disability due to any infectious disease or accident at the workpl Social welfare Empowerment Construction Worker,  Disability,  Labour,  Pension,  Social Welfare"
Kanyadaan Scheme HBOCWWB,"1. Under this scheme, registered workers are being provided financial assistance of 51,000/- as Kanyadaan on the marriage of their daughters. Note Financial assistance of 50,000/- is also provided by the Board for arranging the marriage of the daughter of a registered worker, for which a separate online application is mandatory. Hence, 51,000/- Kanyadaan Scheme 50,000/- on the marriage of the daughter of the beneficiary. Total financial assistance of 1,01,000/- on the marriage of chi",State/ UT,"Social welfare Empowerment, Women and Child","Building Worker,  Construction Worker,  Financial Assistance,  Kanyadaan,  Labour,  Marriage","Kanyadaan Scheme HBOCWWB 1. Under this scheme, registered workers are being provided financial assistance of 51,000/- as Kanyadaan on the marriage of their daughters. Note Financial assistance of 50,000/- is also provided by the Board for arranging the marriage of the daughter of a registered worker, for which a separate online application is mandatory. Hence, 51,000/- Kanyadaan Scheme 50,000/- on the marriage of the daughter of the beneficiary. Total financial assistance of 1,01,000/- on the marriage of chi Social welfare Empowerment, Women and Child Building Worker,  Construction Worker,  Financial Assistance,  Kanyadaan,  Labour,  Marriage"
